А они нападают на Анну. За что?,1
"Я предпочитаю есть зразы с говядиной, а ты с свининой.",1
"Я больше пью виски, чем он пьёт водку.",0
"Жуков вёл свою аримию на Берлин с севера, а Конев вёл свою армию на Берлин с юга.",0
"Отец не ест зелёный лук, отец ест только красный лук.",0
"Убил Смердяков, но как?",1
"Она меня не любит, и я её не люблю.",0
"В прошлом году мы выращивали только картошку, но в этом году мы выращиваем и картошку и огурцы.",0
"Его убили, но не знаю почему.",1
"Каждый день утром он ест хлопья, и вечером тоже.",1
"Я предпочитаю слушать его старые песни, а не новые.",1
"Я собираюсь купить машину, а ты продать.",1
"Георгий готовит макароны, а Лена песто.",1
"Я в первый раз там попробовал сало, а также я в первый раз там попробовал зразы.",0
"Завтра я принесу лёд, а ты принесешь пиво.",0
"Там знали, что Крымов невиновен, a посадили.",1
"Я задал ему три вопроса, и ты тоже.",1
"Она встала и ушла, а её парень не знал, почему.",1
"Вера и Лена читают газету, а Борис книгу.",1
"Я не готовлю так хорошо, как ты.",1
"Что-то купили на рынке, но ещё не объяснили что.",1
Только Петя будет ехать в Москву.,0
Я должен Мише позвонить или ты _?,1
"Мы поедем в парк на машине, а они поедут в парк на велосипеде.",0
"Петя хочет начать изучать французский язык, а Вася немецкий.",1
"Я задал ему три вопроса, а я задал ей только два вопроса.",0
"Я не хотел ходить в кино, но вчера мы ходили в кино.",0
"Митя предложил Кате пойти в кино, а Катя Мите в музей.",1
"Вера и Лена читают газету, а Борис читает книгу.",0
"Дмитрия же не застанет еще вернее, и ему предчувствовалось почему Дмитрия же не застанет еще вернее.",0
"Павель играет на скрипке, Валерий на виолинчели и Петр на рояле.",1
"Я не умею танцевать танго, но хочу.",1
"Они сейчас говорят по-украински, а они сейчас не говорят по-русски.",0
"Я сначала приправлю суп паприкой, а потом чёрным перцем.",1
"Я всем буду помагать, даже Пете я буду помагать.",0
"Ты в клубе пил, пил, играл и потом поехал… к кому?",1
"Он говорит с иностранным акцентом, но мы не знаем почему.",1
"Моя мать работает не только днём, но и также она работает вечером.",0
"Верю, да не знаю во что.",1
"Саша прочитал мою статью, а Дима прочитал твою.",1
Только Петя будет.,1
"Плюньте и уйдите, вот почему.",1
"Они купили надувной замок, но не ясно кому.",1
"Моя мать работает не только днём, но и также вечером.",1
"Мы купили ту книгу по математике после того, как он купил эту.",1
"Лучше потратить целый день, чем потратить целую неделю.",0
"Моя мать хочет новый компьютер, но моя мать ещё не знает, какого бренда компьютер она хочет.",0
Чем?,1
"Я бросил кружку, а сестра тарелку.",1
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет петь эту песню.",0
"Она умерла в 1975, а её муж умер годом позже, в 1976.",0
"Он починил мою машину, но я не понимаю как он починил мою машину.",0
"Он хорошо готовить суп с мясом, а она хорошо готовит суп без мяса.",0
Не знаю от кого.,1
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа пингвинов.",1
"Рубашка мне слишком велика, а брюки мне слишком малы.",0
"Она попросила Мишу остаться, и Вася тоже.",1
"Отец не ест зелёный лук, только красный.",1
"Мои родители живут в Новгороде, и сестра тоже живёт в Новгороде.",0
"В Украине сейчас борются с врагами, а в Америке борются друг с другом.",0
"Она убила его, но чем, не знаем.",1
"Сегодня пойдём в бар, но мне ещё не сказали когда сегодня пойдём в бар.",0
"Он всегда заказывает холодное блюдо, а она всегда заказывает горячее блюдо.",0
"Я не умею готовить так хорошо, как ты умеешь готовить.",0
"Хорошие студенты всегда делают домашки, а плохие студенты никогда не делают домашки.",0
"Иван пишет литературу, а Коля пишет музыку.",0
"Моя девушка хочет в кино всегда, а я никогда не хочу в кино.",0
"Мы поедем в парк на машине, а они на велосипеде.",1
"Они сейчас говорят на украинском языке, а не русском.",1
"Незнакомый вручил мне подарок, но не ясно почему незнакомый вручил мне подарок.",0
Конечно познакомил _.,1
"У него день рождения в июне, и у неё тоже день рождения в июне.",0
"Да за что же, за что?",1
"Павель играет на скрипке, Валерий играет на виолинчели и Петр играет на рояле.",0
"На рождество моя сестра готовит пирожки с картошой, а на Рождество я готовлю пирожки с мясом.",0
"Граница Финландии с Россией длинная, граница Финландии с Норвегией короткая, а граница Финландии со Швецией - средняя.",0
"Плюньте и уйдите, вот почему не будем больше играть.",0
"Они попросили меня пойти на озеро, но у меня нет времени пойти на озеро.",0
"Моя подруга всегда принимает душ вечером, а я утром.",1
"Петя увидел белого зайца после того, как Вася увидел черного.",1
"Человек описыавет какой-то город, но нам не ясно, какой.",1
"Я не знаю, для чего.",1
"Каждый пригласил кого-то танцевать, но я не помню, кто кого пригласил.",0
"Лишь бы он вернул мою книгу сегодня, мне всё равно во сколько.",1
"Я в первый раз там попробовал сало, и ты тоже.",1
Отцу купили машину.,0
"Вчера я не познакомил Машу с Сашей, но я думаю, что завтра я познакомлю Машу с Сашей.",0
"Мы пришли сюда, потому что мы хотели прийти сюда.",0
"Она считает его великолепным композитором, и он считает её великолепным композитором.",0
"Я приправлю суп паприкой, а ты чёрным перцем.",1
"Довольно, не хочу!",1
Почему?,1
"Я умею управлять самолётом, но не вертолётом.",1
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет читать эту лекцию.",0
"Офицеры носят фуражку, а пехотинцы простые пилотки.",1
"Я не умею танцевать танго, но я хочу уметь танцевать танго.",0
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.",1
"Я подготовлю материалы на понедельник, а ты на вторник.",1
"Офицеры носят фуражку, а пехотинцы носят простые пилотки.",0
"Лидия переедет в Тверь, а её сестра в Новосибирьск.",1
"Каждый день утром он ест хлопья, но каждый день вечером он ест стейк.",0
"Вы не можете ответить, или просто не хотите ответить?",0
"Кто-то съел все печенья, но я не знаю, кто съел все печенья.",0
"Я в первый раз там попробовал сало, и ты тоже в первый раз там попробовал сало.",0
"Преследовать и звать его он не захотел, он знал почему.",1
"И Ольгу встретили в магазине, и Kатю встретили в магазине.",0
"Моя мама в зоопарке всегда любит смотреть выдр, а мой папа в зоопарке всегда любит смотреть пингвинов.",0
"В детстве я ел много мороженого, но сейчас в зрелости я ем мало мороженого.",0
"Они могут бегать быстрее, чем я могу бегать.",0
"Петя перестал выходить покурать по утрам, а Вова перестала выходить покурить по вечерам.",0
"Я приправлю суп паприкой, а ты приправишь суп чёрным перцем.",0
"Андрей считает, что никто не будет делать это домашнее задание, но я буду делать это домашнее задание.",0
"Я ненавижу Марка, и ты тоже.",1
"Мне надо убрать гостиную сегодня, а тебе завтра.",1
"Сегодня пойдём в бар, но мне ещё не сказали когда.",1
"Митя предложил Кате пойти в кино, а Катя предложила Мите пойти в музей.",0
"Я не ем столько, как он ест.",0
"Он хорошо понимает математику, и биологию.",1
"Каждый пригласил кого-то танцевать, но я не помню, кто кого.",1
"Убил Смердяков, но как убил Смердяков?",0
"Я больше пью виски, чем он водку.",1
"Никогда не хочу пользоваться духами, потому что дорого.",1
"Да, я распоряжусь, — решила она и, возвращаясь к прежним мыслям, вспомнила, что что-то важное, душевное было не додумано еще, и она стала вспоминать что.",1
"Моя девушка хочет в кино всегда, а я никогда.",1
"Он сказал, что Катя будет читать эту лекцию, а на самом дело Cережа будет.",1
"Максиму нравится шоколад, а Вере нравятся конфеты.",0
"Каждый год он разбивает стакан, и его мать тоже каждый год разбивает стакан.",0
"Иван улыбается, и Миша знает почему.",1
