sentence,label
"У него день рождения в июне, и у неё тоже.","У него день рождения в июне, и у неё тоже в июне."
"Мой брат думает, что лучше охотиться с луком, чем с винтовкой.","Мой брат думает, что лучше охотиться с луком, чем охотиться с винтовкой."
"Петя хочет начать изучать французский язык, а Вася пытается немецкий.","Петя хочет начать изучать французский язык, а Вася пытается изучать немецкий язык."
"Преследовать и звать его он не захотел, он знал почему.","Преследовать и звать его он не захотел, он знал, почему он не захотел преследовать и звать его."
"Каждый пригласил кого-то танцевать, но я не помню, кто кого.","Каждый пригласил кого-то танцевать, но я не помню, кто пригласил кого танцевать."
"Он говорит с иностранным акцентом, но мы не знаем почему.","Он говорит с иностранным акцентом, но мы не знаем, почему он говорит с иностранным акцентом."
"Мои друзья поедут туда на самолёте, а я на машине.","Мои друзья поедут туда на самолёте, а я поеду туда на машине."
"Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя.","Граница Финландии с Россией длинная, с Норвегией короткая, а со Швецией - средняя."
"Я хорошо понимаю математику, но не биологию.","Я хорошо понимаю математику, но не понимаю биологию."
"Петя в Москву приехал, а Вася в Петербург нет _.","Петя в Москву приехал, а Вася в Петербург не приехал."
"Он починил мою машину, но я не понимаю как.","Он починил мою машину, но я не понимаю, как он починил мою машину."
"В понедельник мы читали первую часть романа, и во вторник вторую.","В понедельник мы читали первую часть романа, и во вторник мы читали вторую часть романа."
Не знаю от кого.,Не знаю от кого это.
"Они купили надувной замок, но не ясно кому.","Они купили надувной замок, но не ясно, кому они купили надувной замок."
Отцу.,Отцу.
"Она меня не любит, и я её.","Она меня не любит, и я её не люблю."
"Я говорю по-русски, но не очень хорошо.","Я говорю по-русски, но не говорю очень хорошо."
Я в этом году.,Я в этом году.
"Каждый год он разбивает стакан, и его мать тоже.","Каждый год он разбивает стакан, и его мать тоже разбивает стакан."
"А он, даже если захочет, не сможет...","А он, даже если захочет, не сможет это сделать."
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему.","Теперь уж Алеша был почти уверен в этом, сам не зная еще почему."
"Я ездила туда не только в те дни, когда танцевала.","Я ездила туда не только в те дни, когда танцевала."
"Хорошие студенты всегда делают домашки, а плохие студенты никогда.","Хорошие студенты всегда делают домашки, а плохие студенты никогда не делают домашки."
"Они сейчас говорят по-украински, а не по-русски.","Они сейчас говорят по-украински, а не по-русски."
"Я бросил кружку, а сестра тарелку.","Я бросил кружку, а сестра бросила тарелку."
"Каждый день утром он ест хлопья, и вечером тоже.","Каждый день утром он ест хлопья, и вечером он тоже ест хлопья."
"Кто-то съел все печенья, но я не знаю, кто.","Кто-то съел все печенья, но я не знаю, кто съел все печенья."
"Маша кому-то что-то подарила, но я не помню кому что.","Маша кому-то что-то подарила, но я не помню, кому и что Маша подарила."
"Я предпочитаю слушать его старые песни, а не новые.","Я предпочитаю слушать его старые песни, а не новые песни."
"Когда Петя пришел, я обрадовался, а Вася нет _.","Когда Петя пришел, я обрадовался, а Вася нет не обрадовался."
"Саша прочитал мою статью, а Дима прочитал твою.","Саша прочитал мою статью, а Дима прочитал твою статью."
"Я не могу видеть без очков, а моя подруга может.","Я не могу видеть без очков, а моя подруга может видеть без очков."
"Петя хочет начать изучать французский язык, а Вася немецкий.","Петя хочет начать изучать французский язык, а Вася хочет начать изучать немецкий язык."
"А чтоб истина скорей воссияла, вот зачем.","А чтоб истина скорей воссияла, вот зачем это нужно."
"Петя не может получать $3000, а его заместитель $4000.","Петя не может получать $3000, а его заместитель не может получать $4000."
"Верю, да не знаю во что.","Верю, да не знаю, во что верю."
"Андрей считает, что никто не будет делать это домашнее задание, но я буду.","Андрей считает, что никто не будет делать это домашнее задание, но я буду делать это домашнее задание."
"Кто-то что-то пел, но я не понимал, кто что.","Кто-то что-то пел, но я не понимал, кто что пел."
"Я ненавижу Марка, и ты тоже.","Я ненавижу Марка, и ты тоже ненавидишь Марка."
"И Ольгу встретили в магазине, и Kатю _.","И Ольгу встретили в магазине, и Катю встретили в магазине."
