sentence,label
"Он хорошо готовить суп с мясом, а она без мяса.","Он хорошо готовит суп с мясом, а она без мяса."
"А он, даже если захочет, не сможет...","А он, даже если захочет, не сможет приехать."
"Да за что же, за что?","Да за что же, за что?"
"Я задал ему три вопроса, а ей только два.","Я задал ему три вопроса, а ей задал только два."
"Каждый пригласил кого-то танцевать, но я не помню, кто кого.","Каждый пригласил кого-то танцевать, но я не помню, кто кого пригласил."
"Я хорошо понимаю математику, но не биологию.","Я хорошо понимаю математику, но не понимаю биологию."
"Мальчиком я играл в баскетбол, а мой друг в бейсбол.","Мальчиком я играл в баскетбол, а мой друг играл в бейсбол."
"Хотя мы хотели нарушить закон, мы не посмели.","Хотя мы хотели нарушить закон, мы не посмели нарушить его."
Много?,Сколько именно?
"Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже _.","Ваня сказал, что Вика поедет в Петербург, и я думаю, что Маша тоже поедет."
"Я в первый раз там попробовал сало, а также зразы.","Я в первый раз там попробовал сало, а также попробовал зразы."
"Бизнесмен получил два ранения, а его водитель три ранения.","Бизнесмен получил два ранения, а его водитель получил три ранения."
"Я люблю пиво, а ты вино.","Я люблю пиво, а ты любишь вино."
"Я думал, что Саша будет петь эту песню, а на самом деле Маша будет _.","Я думал, что Саша будет петь эту песню, а на самом деле Маша будет петь."
"Вера и Лена читают газету, а Борис книгу.","Вера и Лена читают газету, а Борис читает книгу."
"Что-то купили на рынке, но ещё не объяснили что.","Что-то купили на рынке, но ещё не объяснили, что купили."
"Мои родители живут в Новгороде, и сестра тоже.","Мои родители живут в Новгороде, и сестра тоже живет в Новгороде."
Как?,Как?
"Я приправлю суп паприкой, а ты чёрным перцем.","Я приправлю суп паприкой, а ты суп чёрным перцем."
"Мы хотим пойти на экскурсию в музей, а вы в театр.","Мы хотим пойти на экскурсию в музей, а вы хотите пойти в театр."
"Митя предложил Кате пойти в кино, а Катя Мите в музей.","Митя предложил Кате пойти в кино, а Катя Мите пойти в музей."
"Ты в клубе пил, пил, играл и потом поехал… к кому?","Ты в клубе пил, пил, играл и потом поехал к кому?"
"Иван что-то купил, но я не помню, чтo.","Иван что-то купил, но я не помню, что купил Иван."
"Кто-то что-то пел, но я не понимал, кто что.","Кто-то что-то пел, но я не понимал, кто что пел."
"В Москву я хочу поехать, а в Петербург нет _.","В Москву я хочу поехать, а в Петербург нет."
Я в этом году.,Я в этом году.
"Демократы голосуют за законопроект, а республиканцы против.","Демократы голосуют за законопроект, а республиканцы против."
"А чтоб истина скорей воссияла, вот зачем.","А чтоб истина скорей воссияла, вот зачем это нужно."
Не знаю от кого.,Не знаю от кого.
"Я в первый раз там попробовал сало, и ты тоже.","Я в первый раз там попробовал сало, и ты тоже попробовал сало."
"Незнакомый вручил мне подарок, но не ясно почему.","Незнакомый вручил мне подарок, но не ясно, почему он это сделал."
"В детстве я ел много мороженого, но сейчас в зрелости мало.","В детстве я ел много мороженого, но сейчас в зрелости ем мало."
"Мне надо убрать гостиную сегодня, а тебе завтра.","Мне надо убрать гостиную сегодня, а тебе надо убрать гостиную завтра."
"Он начинает действовать открыто... подчеркивая, что выступает...","Он начинает действовать открыто, подчеркивая, что выступает открыто."
"Георгий готовит макароны, а Лена песто.","Георгий готовит макароны, а Лена готовит песто."
"Ольга хорошо говорит по-немецки, и Катя тоже.","Ольга хорошо говорит по-немецки, и Катя тоже хорошо говорит по-немецки."
"Человек описыавет какой-то город, но нам не ясно, какой.","Человек описывает какой-то город, но нам не ясно, какой он описывает."
"Она считает его великолепным композитором, и он её.","Она считает его великолепным композитором, и он считает её великолепной композитором."
"Мне нравится эта песня, но не знаю почему.","Мне нравится эта песня, но не знаю почему."
"Я задал ему три вопроса, и ты тоже.","Я задал ему три вопроса, и ты задал тоже."
"Я хочу поехать за границу, но не знаю куда.","Я хочу поехать за границу, но не знаю, куда."
"Я умею управлять самолётом, но не вертолётом.","Я умею управлять самолётом, но не умею управлять вертолётом."
"Я хотел чай из Китая, а не из Индии.","Я хотел чай из Китая, а не из Индии."
"Каждый день утром он ест хлопья, и вечером тоже.","Каждый день утром он ест хлопья, и вечером тоже ест хлопья."
"Теперь уж Алеша был почти уверен в этом, сам не зная еще почему.","Теперь уж Алеша был почти уверен в этом, сам не зная еще почему."
"Марина увидела что-то странное, но я не знаю что.","Марина увидела что-то странное, но я не знаю что она увидела."
"Я предпочитаю слушать его старые песни, а не новые.","Я предпочитаю слушать его старые песни, а не новые."
Чем?,Чем?
Только Петя будет.,Только Петя будет есть.
"На рождество моя сестра готовит пирожки с картошой, а я с мясом.","На рождество моя сестра готовит пирожки с картошой, а я готовлю пирожки с мясом."
